My underwear is dirty.	我的內衣髒了
Everyone deserves a second chance.	每個人都值得被給予第二次機會。
She's busy now and can't talk with you.	她现在忙，不能跟你说话。
Part of his story is true.	他的故事一部分是真的。
Do you have any idea who would do this?	你觉得这事是谁干的？
What were Tom and Mary doing here?	湯姆和瑪麗在這裡做了甚麼？
Please put your shoes on.	請穿上你的鞋子。
People have two legs.	人有两只脚。
Let's go!	我們開始吧！
The plan was executed.	计划被执行了。
We made every effort to help him.	我們盡了一切努力來幫助他。
Lots of people in Japan are indifferent to politics.	很多日本人对政治冷淡。
At first, I had no idea why.	起初我不知道為什麼。
This is a book.	这是一本书。
I would like to go home now.	我現在想回家了。
Please remind me to mail the report tomorrow.	请提醒我明天把报告寄了。
Good afternoon.	下午好。
He is mad about music.	他痴迷于音乐。
You're sick. You have to rest.	你病了，该休息了。
Tom's intentions were quite clear.	湯姆的目的很明顯。
Tom didn't write back to Mary.	汤姆没给玛丽写回复。
I always study hard.	我總是用功讀書。
Please be careful when crossing the street.	过马路时请小心。
I was already tired.	我已经累了。
I have three cameras.	我有三台攝影機。
He earned his living as a teacher.	他以教書為生。
Please show me those pictures.	請讓我看看那些圖片。
Tom's not breathing.	汤姆没有呼吸了。
I get a kick out of life.	我為人生感到很開心。
I'm playing football now.	我現在正在踢足球。
I'll wait a day or two.	我會等一兩天。
People in the United States speak English.	在美國的人說英語。
This juice tastes sour.	這個果汁喝起來酸酸的。
You've been had.	您被骗了。
It's later than you think.	時間比你想的還要晚。
Did you have a good time yesterday?	你昨天玩得開心嗎?
I helped her wash dishes.	我幫她洗碗。
Work harder if you plan to succeed.	如果你計劃要成功，就要更加努力地工作。
To my surprise, the door was unlocked.	令我驚訝的是，門沒上鎖。
He will not be able to do the work.	他没能力做这个工作。
She liked him right off.	她立刻喜歡上他了。
I can't live without TV.	没有电视，我无法生活。
Tom wrote two books.	汤姆写了两本书。
I'm sure we'll find a solution.	我确信我们会找到解决办法的。
I don't feel well.	我感觉不舒服。
May I see your driver's license, sir?	先生，我可以看看你的駕駛執照嗎？
He is a teacher.	他是教师。
No one here will betray you.	這裡沒有人會背叛你。
I've heard that name somewhere before.	我在别处听过那个名字。
I believe Tom is right.	我相信湯姆是對的。
Do you guys want to go with me?	你們要和我一起去嗎？
Fools rush in where angels fear to tread.	初生之犢不畏虎。
There are only three women in this class.	這個班只有三個女生。
He is difficult to get along with.	他這個人很難相處。
It is said that treasure is buried in this area.	据说这个区域埋着财宝。
Could you spare me a few minutes?	你能为我腾出几分钟时间吗?
She doesn't want to talk about it.	她不想提了。
I always eat out.	我總是在外面吃飯。
He had a large family to support.	他要養活一個大家庭。
Who were you talking with?	你和谁说话呢？
This is a good book for children to read.	这是本对儿童好的书。
Don't exceed the speed limit.	不要超速。
Aren't you going to go with me?	你不要跟我一起走嗎？
Should we have some lunch?	我們該吃午飯了吧？
Why would they need to do that?	为什么他们会需要那么做呢？
Do you know how to use this?	你知道怎么使用吗？
She's popular, not because she's beautiful, but because she's kind to everyone.	她受歡迎不是因為她的美麗，而是因為她親切地對待每個人。
I have plenty of money with me.	我身上帶著很多錢。
This is a new experience for Tom.	这对于汤姆是新体验。
You can no longer hurt me.	你不再能伤害到我了。
I am ready to do anything for you.	我甘心为你做任何事。
I can see the light.	我能看到光線。
She plays golf every weekend.	她每周末都打高尔夫球。
He was elected mayor.	他被选为市长。
I want to talk to your uncle.	我想和你的舅舅谈一谈。
They fell into the conversation immediately.	他们很快就聊起来了。
I can't believe anyone anymore.	我再也不相信任何人了！
I'm sorry I wasn't able to see you when you came by today.	我很抱歉今天您来的时候没能见您。
You're really beautiful.	你真的很漂亮。
You needn't have taken an umbrella with you.	你其实没必要带伞。
I know that you are learning French at school.	我知道你在學校學法語。
He graduated from Harvard University with honors.	他光榮地從哈佛大學畢業了。
You only gave me fifty cents.	你只給了我五十美分。
The cat is not dead.	那猫没死。
He is better than anyone else.	他比任何人都好。
I'm an atheist.	我是无神论者。
Don't make fun of old people.	不要捉弄老人家。
Why did you do that?	你為什麼要那樣做呢？
The music was very loud.	那音乐声音十分响。
Have you seen all these movies?	你把電影全看了嗎？
Have you given Tom everything?	你全都给汤姆了吗？
Tom is hiding a terrible secret.	汤姆隐藏着一个可怕的秘密。
Let's meet again soon.	讓我們很快地再次見面。
I wonder if you are as busy as we are.	我担心你會跟我們一樣忙。
We must reduce energy demand.	我们必须降低能源需求。
I just don't like it.	我只是不喜欢它。
A huge monster is coming down the mountain.	从山上走来一只巨大的怪物。
You have no fever.	你没发烧。
Kyoto is not as large as Osaka.	京都不如大阪大。
That wasn't too bad.	那不太坏。
I didn't meet anyone there.	我在那裡沒遇見任何人。
Last year in the Philippines, earthquakes and tidal waves resulted in the deaths of more than 6,000 people.	去年在菲律宾，地震和海啸造成了超过6000人的死亡。
Pass me the wine, please.	請把酒遞給我。
She and I are brother and sister.	我和她是兄妹。
It is likely to rain again.	很有可能还会下雨。
Your problem is similar to mine.	你的问题类似于我的。
I played tennis after school.	放学后我打了网球。
He scraped the mud off his boots.	他刮下靴子上的泥巴。
We'll be late for dinner.	我們的晚飯要晚點吃了。
I ripped my pants.	我扯掉了自己的裤子。
They have elected a new government.	他們選出了新政府。
The book was published in 1689.	这本书出版于1689年。
Can I speak with the teacher?	我能和老师说话吗？
If you had left home a little earlier you would have been in time.	如果你早点出门的话，你就能赶上了。
Maternal love is greater than anything else.	母爱比任何别的东西都伟大。
He works in a factory.	他在一家工廠工作。
They left there the day before yesterday.	前天，他们离开了那儿。
You're Tom's friend, aren't you?	你是湯姆的朋友，不是嗎？
Tom has just finished eating dinner.	Tom刚吃完晚饭。
You're driving too fast.	你開得太快了。
The bell rings at noon.	正午時分鐘聲響起。
After two days our food gave out.	过两天我们的食物就发完了。
I told Tom that I thought his house needed to be painted.	我告诉汤姆我认为他的房子要刷漆。
I'd like to see him tomorrow afternoon.	我想明天下午見他。
Someone ate all my cupcakes.	某人把我的杯形蛋糕吃完了。
I got your fax the other day.	我前幾天收到了你的傳真。
I go to bed late at night.	我晚上很晚就寢。
We've had it analyzed.	我们已经将它做了分析。
Are you a Japanese student?	你是日语学生吗？
He came to Japan seven years ago.	他七年前來日本。
I have already finished reading this book.	我已經讀完了這本書。
Where is your house?	你們家在哪？
Tom's eyesight is deteriorating.	Tom的视力正在恶化。
We should call the police.	我们该报警。
I know Tom is watching me.	我知道湯姆在看着我。
Your second button is coming off.	你的第二顆鈕扣快掉了。
I'm not afraid to die.	我不怕死。
He rested for a while.	他休息了一会儿。
I can't remember which is my racket.	我不記得哪個是我的球拍。
I have no excuse.	我没有借口。
I like going to watch baseball.	我喜歡去看棒球。
She plays the violin very well.	她小提琴演奏得非常好。
The dog fell asleep on top of the blanket.	狗在地毯上睡过。
I want to go there once more.	我想再去那裡一次。
Is it really that hard to speak French?	说法语真有那么难吗？
Somebody was murdered.	有人被謀殺了。
Press the bell twice.	按两下铃。
How much longer will you stay in Boston?	你在波士顿再待多久？
He wouldn't look at my proposal.	他對我的提議不屑一顧。
Tom is living somewhere in Boston.	湯姆住在波士頓某地。
Tom played with his dog.	汤姆和他的狗玩。
It's really not important.	真的不重要。
I have seen the film before.	我已经看过这部电影了。
They are much taller than us.	他們比我們高得多。
I worked on the farm all day.	我整天在農場上工作。
Someone told me that this boy cannot hear.	有人告诉我这个男孩耳聋。
I prefer tea to coffee.	我喜歡茶勝過咖啡。
I'm sick.	我生病了。
I believed you.	我相信了你。
What is the name of this river?	這條河叫什麼名字?
Don't you have any money?	你沒有錢嗎？
I'm not feeling that hungry yet.	我感觉还不是那么饿。
Tom made a list of places he wanted to visit.	汤姆列了他想去的地方的名单。
Do you often travel abroad?	你经常去国外旅行吗？
I objected to his paying the bill.	我反對他付帳單。
You're one of my best friends.	你是我最好的朋友之一。
I wonder why they left my name off the list.	我奇怪他们为什么在表里把我的名字落下了。
My father began jogging last month.	我父親上個月開始慢跑。
You'll be able to see the difference very easily.	你们很容易就能看出区别。
The moonlight is beautiful.	月光真美。
Why are you wearing that scarf?	你为什么戴那条围巾？
We don't think so.	我们不这样认为。
She went to the park with him.	她跟他去公園了。
I slipped and fell down the stairs.	我滑了一跤並從樓梯上摔下來。
This work must be finished by Monday.	這項工作必須在週一​​前完成。
He made a few grammatical mistakes.	他犯了一些文法錯誤。
I was bored with his old jokes.	我厌倦了他的老笑话。
I want a cellular phone, but I don't have enough money to pay for one.	我想要一支手機, 但是我沒有足夠的錢買一支。
He drives his own car.	他開他自己的車。
I'm staying at the Hilton Hotel.	我留在希尔顿宾馆。
Your hair is pretty.	你的头发很漂亮。
She backed her car into the garage.	她倒車進車庫。
You look tired. You ought to rest for an hour or two.	你看起來很累。你應該休息一兩個小時。
I think my French isn't very good.	我认为我的法语不太好。
I'm having some problems compiling this software.	我编译这个程序有些困难。
I've not heard that she will come.	我沒聽說她會來。
Tom smiled.	汤姆笑了。
If you do not have this program, you can download it now.	假如你没有这个程序，你现在就可以去下载。
I can't understand his feelings.	我不明白他的感受。
The risk is too great.	风险太大。
He got down the book from the shelf.	他從架上拿下書。
Weather permitting, we will leave in an hour.	如果天气允许的话，我们1小时后出发。
She went to Mexico by herself.	她独自一人去了墨西哥。
I think that would be fun.	我認為那會很有意思。
Life is very hard.	人生良苦。
Tom wrote a letter to Mary this morning.	Tom今天早上寫了封信給Mary。
I want to travel around the world.	我要環遊世界。
What's this song? I've heard it before, but I can't remember the name.	这是什么歌？我以前听过，但是我想不起歌名了。
I studied English when I was there.	當我在那裡的時候，我學習英語。
The river flows under the bridge.	河從橋下流過。
In case the shipment is delayed, we have special delay insurance.	万一船运迟了，我们有特别的迟到保险。
Is it next Monday that Tom returns?	汤姆是在下个星期一回来吗？
Let me ask a stupid question.	我来问个有点傻的问题。
I like my coffee without sugar.	我喜欢喝咖啡不加糖。
Where's the vodka?	伏特加在哪里？
His name was on the tip of my tongue, but I couldn't remember it.	我都快要说出他的名字了，可就是记不起来。
Will six o'clock suit you?	六點鐘你方便嗎?
She disliked her husband.	她不喜歡她的丈夫。
Our school is in the center of the town.	我们学校在市中心。
I have time.	我有时间。
They made me captain.	他們讓我當了隊長。
I couldn't understand his ideas.	我無法理解他的想法。
Were you on time for work today?	你今天準時上班了嗎？
I don't mind hot weather.	我不在乎炎熱的天氣。
Tom is indispensable.	汤姆是必不可少的。
I would really like to know why he did something like that.	我真的很想知道他為什麼做了像那樣的事。
My hand was burned.	我的手烧伤了。
I think you're ready.	我認為你準備好了。
Perhaps Tom is too old to do this kind of thing.	也許Tom年紀太大，不適合做這件事。
I was just about to leave.	我就要离开了。
What's Tom given us?	汤姆给了我们什么？
More coffee, please.	請再給我一點咖啡。
If you hurry, you will catch up with him.	如果你快一点，还能赶上他。
My shoes are bigger than yours.	我的鞋比你的大。
Roll the ball to me.	把球传给我。
Teaching English is his profession.	教英语是他的职业。
We have two examinations during this term.	这个学期我们有两次考试。
Could you cancel my reservation?	你能取消我的預訂嗎？
Wake me up early tomorrow morning.	明天早上早點叫醒我。
Tom may be able to come tomorrow.	汤姆可能能在明天来。
Please continue with your story.	请继续讲你的故事。
I'm free now.	我现在有空了。
Could you call a doctor, please?	你能請個醫生來嗎？
I told you to stop, didn't I?	我告訴了你停下來，不是嗎？
I'm sorry.	我很抱歉。
Tom isn't happy at all.	汤姆根本不高兴。
It's not good for anybody.	这对任何人都不好。
The child missed his mother very much.	這孩子非常想念他的母親。
You'd better go home.	你最好回家。
You are tired, aren't you?	你累了，不是吗？
Did you have any difficulty in finding my house?	你找我的房子有困難嗎？
I'm thinking about you.	我正考慮到你。
I'm sorry, I don't have change.	對不起, 我沒有零錢。
The murmur of the brook lulls me to sleep.	溪流潺潺，催我入眠。
I don't feel very well. I should go home.	我感覺不太好，我該回家。
You've got a lot of guts.	你膽子很大。
I'll never forget what you told me.	我將永遠不會忘記你告訴過我的話。
We went to the races.	我们去看了比赛。
Is there a post office near here?	這附近有郵局嗎？
Is this snake safe to touch?	摸這條蛇安全嗎?
The leaves fell to the earth.	树叶掉在地上。
Get them before they get us.	先下手为强，后下手遭殃。
The losses are incalculable.	損失是無法估計的。
Let's go!	走吧。
My grandmother lives by herself.	我祖母獨自生活。
Sorry, we don't accept credit cards.	對不起，我們不接受信用卡。
I warned him about the danger.	我跟他说过很危险的。
She was elected chairman of the committee.	她當選為委員會主席。
What will tomorrow's weather be like?	明天天氣怎麼樣？
Tom seems to have a cold.	湯姆看來感冒了。
He attributes his success to good luck.	他将他的成功归功于好运。
She's been working all day long.	她已經工作了一整天。
Mary is an exceptionally beautiful girl.	瑪麗是一個非常漂亮的姑娘。
He acknowledged his faults.	他得知了他的错误。
I'm looking for my pen.	我在找我的鋼筆。
Do you have children already?	你已經有孩子了嗎？
Does this letter have to be written in English?	這封信必須用英文寫嗎?
Come to my house this afternoon.	今天下午到我家来一趟。
We spent the entire day on the beach.	我們一整天在沙灘上。
Tom didn't want to do that.	湯姆不想去做那件事。
What's the weather like now?	现在的天气怎么样了？
Do you guys want something to eat?	你們想要吃些什麼嗎？
I am the fastest runner.	我是跑得最快的人。
Such a plan is bound to fail.	這樣的計劃注定會失敗的。
Have a good Christmas.	祝您有一個愉快的聖誕節。
Give me some milk, too.	也給我一些牛奶。
Austria is one of the largest producers of electricity in Europe.	澳大利亚在欧洲是最大的电能生产国之一。
Did something happen?	發生了什麼事嗎？
I must make up for the loss.	我必须弥补损失。
Who buys this type of art?	谁买这种艺术品？
A ring and some cash are missing.	少了一个戒指和一点现金。
We depend on you.	我们可全靠你了。
There's no one in the room.	沒有人在房間裡。
Tom seems to be easygoing.	湯姆看來隨和。
Tom wants to spend more time with his family.	汤姆想多把时间花在他的家庭上。
Try to keep from crying.	試著不要哭。
Please speak more loudly.	請說大聲一點兒。
Don't be too sensitive to criticism.	不要对批评太敏感了。
There is a basket under the table.	桌子底下有一個籃子。
It is especially hot today.	今天特別熱。
Can you name one of their songs?	你能够说出一首他们的歌的名字吗？
I can do it without your help.	沒有你的幫忙我也能做。
Is this your car?	這是你的車嗎?
Do you like school?	您喜歡學校嗎?
Arrangements have already been made.	已经安排好了。
Translate the passage word for word.	逐字地翻譯這個段落。
I'll help you escape.	我会帮你逃跑的。
I am cold.	我冷。
She may be late, in which case we will wait.	她可能迟到，然后我们就要等。
I feel very sick.	我覺得我病得很厲害。
Watch your step.	走路小心。
He didn't know what to do next.	他不知道下一步要做什麼。
How old is your son?	你兒子幾歲?
Smoke is rising from the chimney.	煙從煙囪上升。
Remember that I outrank you.	记住我的级别在你的之上。
She squeezed the juice from many oranges.	她用了許多柳橙來榨汁。
Kyoto is worth visiting.	京都值得游览。
Tom didn't want to come.	汤姆不想来。
Please divide the pizza into three parts.	請把披薩分成三份。
I'll give you a prescription.	我会给你开个药方。
Look at the sky.	看天上。
Tom is resting at the moment.	汤姆现在在休息。
I think so.	我想是這樣的。
His clothes always smell bad.	他的衣服總是很臭。
We are happy to see you again.	我们很高兴再次见到你。
I can't take my eyes off her.	我無法把我的視線從你身上移開。
Phoenix is the capital of Arizona.	鳳凰城是亞利桑那州的首府。
He decided to quit smoking.	他決定戒菸了。
My father is suffering from a cold.	我父親感冒了。
You should learn to control your emotions.	你應該學會控制自己的情緒。
I don't often do that by myself.	我不經常自己去做。
Do you have a lot of time to relax?	你有很多休閒時間嗎？
She didn't need to do that work.	她不需要做那個工作。
The tie doesn't go with my suit.	领带和我的西装不配。
There are so many people at this concert.	這場演唱會的人真多。
He was an excellent scientist, and what is more, was a great poet.	他是一位優秀的科學家，更是一位偉大的詩人。
We sat talking about the remote past.	我们坐着谈很久以前的事。
My income has decreased ten percent.	我的收入減少了百分之十。
I'm afraid of dying.	我怕死。
You can't build buildings on swampy land.	你不能在沼澤地上建造建築物。
He is a member of the baseball club.	他是這棒球俱樂部的成員。
He did not answer the phone, so I sent him an email.	他没有接电话，所以我给他发了封邮件。
The weather was so cold that the lake froze over.	天冷得足以让湖结冰。
We live together.	我們住在一起。
Being rich isn't enough.	有钱还不够。
We're going to eat a lot tonight so I hope you're not on a diet.	我们今晚会吃很多，所以我希望你没有在节食。
His ideas are always practical.	他的主意总是可行的。
He asked me to speak more slowly.	他要求我講慢一點。
What are you reading right now?	你在看什么？
I bought a good camera.	我買了一台不錯的照相機。
I have a friend whose father is a teacher.	我有一個朋友, 他的父親是老師。
His hat isn't on straight.	他的帽子没戴正。
Mary grabbed her purse and left.	Mary霸占了她的包包并且离开了。
Tom comes here three or four times a month.	汤姆一个月来这里三四次。
They made their way through the crowd.	他們從人群中擠過去了。
He's my new friend.	他是我新交的朋友。
We had a heavy frost this morning.	今天早上下厚霜了。
We must take into account the fact that he is young.	我们必须考虑到他很年轻。
Those trains run every three minutes.	這些火車每三分鐘發車。
Rabbits have long ears and short tails.	兔子长着长长的耳朵和短短的尾巴。
What should I do?	我该做什么？
These pictures were painted by him.	這些畫是他畫的。
She was a tall, thin girl with long, soft brown hair.	她是個又高又瘦, 留著一頭又長又軟的褐色頭髮的女孩。
You must control yourself.	你必須控制自己。
Did you show it to your parents?	你給你父母看了嗎？
He's stronger than you.	他比你強壯。
They are eating their apples.	他們在吃他們的蘋果。
How much time do you spend on Facebook?	你花多少時間在Facebook上？
You're our only hope.	你是我们唯一的希望。
He plays golf every weekend.	他每個週末打高爾夫球。
Don't be shy.	不要害羞。
Tom doubts whether Mary is honest.	湯姆懷疑瑪麗是否誠實。
How about some more roast beef?	再多一些烤牛肉怎麼樣?
He is apt to be late.	他很容易遲到。
Tom jumped up from his chair.	湯姆從他的椅子上跳了起來。
He worked in a big city hospital.	他在一間很大的市立醫院工作。
Class doesn't begin until eight-thirty.	八點半開始上課。
What prevented you from coming earlier?	什麼阻止你早點來了?
He will be a good husband to my sister.	他会是我妹妹的好丈夫的。
She borrowed a saw from the farmer.	她向農夫借了一把鋸子。
You are always watching TV.	你總是在看電視。
I think you've done this before.	我想你以前做过这个。
Sometimes you get lucky.	你有時候真走運。
When did you last see Tom?	你最后一次看到汤姆是什么时候？
Try it.	试试吧。
He continued reading the book.	他繼續看書。
Both of them are in the room.	他們兩個人都在房間裡。
"I saw her five days ago," he said.	他说：“我五天前见过她。”
I subscribe to two newspapers.	我訂閱了兩份報紙。
My son believes in Santa Claus.	我兒子相信聖誕老人。
Is it OK for me to come in now?	我现在进来方便么？
A woman visited us while you were sleeping.	你睡觉的时候，一个女人来看过我们。
Don't bite on the right side.	不要從右邊咬。
He knows who they are.	他知道他们是谁。
The child has a case of chicken pox.	这孩子有水痘的症状。
He's always running short of cash.	他的現金總是不夠用。
Do you have children?	你有孩子嗎？
He said hello to the woman.	他向那位女士问好。
I see a book.	我看到一本書。
Do you really want Tom to suffer?	你真想讓湯姆受苦嗎？
Someone is lying.	有人說謊。
Tom has his own bedroom.	湯姆有他自己的房間。
I only want one.	我只想要一件东西。
She ordered the book from London.	她从伦敦订了这本书。
They defended their country against the invaders.	他们抵御入侵者，保卫了国家。
Whose turn is it?	輪到誰了？
I'll clean up the kitchen later.	我等一下將清理廚房。
I didn't know where it came from.	我不知道它是从哪里来的。
Our train is delayed.	我們的車誤點了。
I am busy.	我很忙。
I think Tom is sleeping.	我以為湯姆在睡覺。
He always quarrels with his wife.	他總是與他的妻子吵架。
They were afraid.	他们害怕了。
I don't have four brothers.	我没有四个兄弟。
Just put yourself in my shoes.	你站在我的立場上考慮看看。
This novel is difficult to understand.	这部小说很难读懂。
Shut the door on your way out.	出去的时候把门关上。
The sky was clear when I left home.	当我离开家的时候天空很明朗。
We are not going on vacation.	我们不去度假。
He doesn't listen.	他没听。
They don't even know why.	他們甚至不知道為什麼。
I'd be unhappy, but I wouldn't kill myself.	我会不高兴，但我不会自杀。
Why did you cry so much?	你為甚麼哭得這麼厲害？
May I take your picture?	我可以幫你照相嗎？
He bought a small house in Kyoto.	他在京都買了一個小房子。
Don't make stupid jokes.	开什么国际玩笑。
His house is not far from here.	他家離這兒不遠。
Once in a while, we should take a step back and think.	有时候，我们应该后退一步想一想。
It might be a wedding.	這可能是一場婚禮。
What's for supper?	我们晚饭吃什么？
You should be good to your neighbors.	你应该对邻居好点。
I wrote the wrong address on the envelope.	我在信封上写错了地址。
Tom gave Mary a nice present.	湯姆給了瑪麗一個不錯的禮物。
We met her by accident.	我们偶然碰到了她。
It never rains but it pours.	不下雨則矣，一下一定是傾盆大雨。
I can read Spanish easily.	我能很輕鬆地讀西班牙文。
Do you have many friends?	你有很多朋友吗？
You may as well come with me.	你不如跟我一起來。
Tom wrote the report all by himself.	湯姆寫報告全是靠的自己。
She really does like animals.	她确实喜欢动物。
Tom wants children, but Mary doesn't.	汤姆想要孩子，但玛丽不想。
Valuable time has been lost.	宝貴的時間已失去。
I don't know whether I have time or not.	我不知道有没有时间。
"The phone is ringing." "I'll get it."	“电话响了。”“我去接。”
Cosmetic surgery is not covered by most insurance plans.	大部份的保險計劃不包含整容手術。
When I was in London last year, someone broke into my room and stole my wallet.	當我去年在倫敦的時候，有人闖進了我的房間，偷走了我的錢包。
He was disappointed that things didn't turn out as he'd hoped.	事情没能如他所愿让他感到失望。
Spring will come soon.	春天快來了。
My son is now as tall as I am.	我儿子现在和我一样高了。
You shouldn't talk to Tom that way.	你不該那樣跟湯姆講話。
The red dress suited her.	這件紅色的洋裝適合她。
They called in a doctor because the child was ill.	他們打電話給醫生因為這個孩子生病了。
It's not something I'm very good at.	这不是我所擅长的事。
Pale ale is a low-alcohol beer.	淡啤酒是一種酒精含量低的啤酒。
I got up early in the morning.	我早上很早起床。
I shouldn't have told you anything.	我本不该告诉您什么的。
Money can't buy happiness.	钱买不到幸福。
I'll be back at seven o'clock.	我會在七點鐘回來。
I don't know any of the five ladies.	这五个女人我一个都不认识。
Tom and I are good friends.	湯姆和我是好朋友。
Show me an example.	给我个例子。
Actually, I'm not suggesting anything.	實際上，我沒有建議甚麼。
We have to do something, Tom.	汤姆，我们必须要做点什么。
He can't help you.	他不能幫你。
I can't stand that noise any longer.	我不能再忍受那噪音了。
I'm tired of translating.	我厭倦了翻譯。
You are a good person.	您是一個好人。
It is too late.	太晚了。
I have mislaid my baggage.	我的行李丢了。
We waited in the park for a long time.	我们在公园等了好久。
Should we be worried?	我們應該要擔心嗎？
Underage drinking is a crime.	未满年龄饮酒是罪行。
We saw him walking across the street.	我們看見他正在過馬路。。
Would you mind if I used your car?	如果用了你的車，你會介意嗎?
He will be coming to the party.	他會來參加派對。
He bought a Honda.	他賣了一台豐田的車。
I shave every morning.	我每天早上刮鬍子。
The clown made a funny face.	小丑做了个鬼脸。
I'm not always home on Sundays.	我並不總是在星期天回家。
Have you heard from him recently?	你最近有他的消息嗎？
Tom's hope was to win first prize.	湯姆希望贏得第一名。
I prefer red wine to white wine.	我喜歡紅葡萄酒勝過白葡萄酒。
Reading a book can be compared to a journey.	阅读一本书可以比作一次旅行。
It is already nine o'clock.	已经9点了。
Her father passed away last week.	她的父親上週去世了。
My city is fifty kilometres from the capital.	我的城市离首都五十千米。
He studies history at college.	他在大学修读历史。
I want Tom to win.	我想让汤姆赢。
Did you call?	你打過電話了嗎？
I have a dog and a cat.	我有一隻狗和一隻貓。
I'd like a room in the front.	我想要一間前面的房間。
You'll get lost.	你会迷路的。
Don't bother.	不用麻烦了。
You can come with me.	你可以跟我來。
He went to London in 1970.	他在1970年前往倫敦。
The rear gate was open.	后门曾开着。
I can't keep up with you.	我無法跟上你。
Do you really believe that story?	你真的相信那故事嗎？
Where are you planning to stay?	你打算在哪裡留宿？
Do you think he is good for the position?	你认为他适合这个职位吗？
He married an air hostess.	他娶了一个空姐。
Can you jump rope?	你能跳绳吗？
Nobody understood why the elephant suddenly turned on its owner.	没有人明白为什么大象突然攻击了它的主人。
I didn't mean to be selfish.	自私不是我的本意。
I hope to see you.	我希望能见到你。
Tom probably knows why the meeting was postponed.	湯姆大概知道會議延期的原因。
What do you want to be when you grow up?	你长大后想成为什么？
English is difficult to learn.	英語很難學。
Big fish eat little fish.	大鱼吃小鱼。
I invited my neighbor to breakfast.	我請我的鄰居來吃早飯。
May I use your toilet?	我能用一下你们的厕所吗？
What have I ever done to Tom?	我对汤姆做了什么？
Their wedding is tomorrow.	他們明天舉行婚禮。
Where is Tom's classroom?	湯姆的教室在哪裡？
I'll see you whenever it suits you.	只要你方便，我什麼時候都可以跟你見面。
She achieved great success in her business.	她在她的事業上取得了巨大成功。
Don't forget your money.	不要忘记你的钱。
Would you like some more cake?	你想再來些蛋糕嗎？
He said he did not enter the room, which was a lie.	他说他没有进房间，那是骗人的。
It depends on the context.	这得看情况。
She visited the old man in the hospital every day but Sunday.	她每天都去探視在醫院裡的老人，除了星期天。
He kissed his daughter on the forehead.	他親了親他女兒的額頭。
Tom did the best he could, but he wasn't able to get a higher grade than Mary.	汤姆尽了全力，但他还是不能获得比玛丽更高的等级。
The dog was sleeping on the mat.	狗在地毯上睡觉。
Is Tom able to speak French?	Tom能说法文吗？
He left for Europe a week ago, that is, on the tenth of May.	他在一周前离开去往欧洲，就是说，是在五月十号。
You've got a great memory.	你的記憶力很好。
I want to keep moving.	我想继续走。
I don't like the food at that deli.	我不喜欢那家熟食店里的食物。
Everyone, say cheese.	所有人，都请说 cheese 。
Tom doesn't eat meat and neither does Mary.	湯姆不吃肉，瑪麗也是。
I hear that he sold his house.	我聽說他賣掉了房子。
Please wait until I come back.	請等到我回來。
Shut the door.	关门。
I should stop procrastinating.	我做事该果断。
Give the cat some meat.	給猫喂點肉。
I'm fine.	我很好。
When and where is breakfast served?	早饭在何时何地用？
We have three kids.	我們有三個孩子。
Tom thanked everyone for waiting.	汤姆感谢每个人的等待。
There are some boys under the tree.	樹下有一些男孩。
Are you going to sing here?	你们要在这里唱歌吗？
I intend to become a lawyer.	我有志成为一名律师。
Promises are made to be broken.	诺言就是用来打破的。
He is eager to go there.	他渴望去那里。
My mother gets up early in the morning.	我妈妈早上早起。
I just don't want to marry you.	我就是不想嫁給你。
I don't know if Tom can help us.	我不知道湯姆能不能幚我們。
When was she born?	她是什么时候出生的？
He doesn't look his age.	他的长相与年龄不符。
That movie is worth seeing.	那部电影值得一看。
They made the novel into a drama.	他們把這本小說變成戲劇。
Have we made progress?	我們取得進步了嗎？
Did you complete the work?	你完成工作了吗？
I love her and she loves me.	我愛她，她也愛我。
If you would move over, there would be room for everyone.	如果您移過去一點, 每個人就可以有空間了。
His son was expelled from school.	他的兒子被學校開除了。
I am not a teacher.	我不是個老師。
You are drunk!	你喝醉了！
The simplest way is often the best way to solve a problem.	解决问题最简便的方法往往是最好的办法。
The game ended at nine o'clock.	比賽在九點鐘結束。
I'm coming to see you tomorrow.	我明天會來看你。
I felt that my honor was at stake.	我覺得我的名譽受到了威脅。
Close your eyes.	闭上你的眼睛。
Is that a picture of me?	那是我的照片嗎？
I wish to visit Egypt someday.	我希望有一天去埃及。
Go away!	滾！
Tom seems to really enjoy being in Boston.	湯姆看來真喜歡待在波士頓。
I thought I could be of some help.	我認為我能幫點忙。
What has brought you here?	是什么风把你吹来了啊？
I think we should talk about this now.	我认为我们现在就该谈谈这个。
The speaker's comments were highly offensive.	发言人的评论极有攻击性。
The bill was passed after a hard fight in the House.	該法案在眾議院爭議後獲得通過。
That's the computer on which he writes his articles.	那就是那台他用来写文章的电脑。
I had difficulty in solving this problem.	我很難解決這個問題。
The strike affected the nation's economy.	罢工影响了国家经济。
Tom stood up from his chair.	汤姆从椅子上站了起来。
Tom ran out of matches so he couldn't light the fire.	汤姆用尽了火柴，不能点火了。
My name is Tom.	我叫Tom。
He finally became the president of IBM.	他最终成了IBM的总裁。
A glass of wine, please.	一杯葡萄酒，謝謝。
It is rude to stare at someone.	盯著別人看是不禮貌的。
Do you want something to eat?	您想吃点什么吗？
Sumo is a traditional Japanese sport.	相扑是日本传统的体育活动。
